Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
RumbleKongLeague,3.88Ξ,6,0.4Ξ,0.02%,30%,3,2.30%,-0.01%
SHIBOSHIS,3.74Ξ,7,0.52Ξ,-3.79%,35%,9,4.50%,-0.05%
CyberKongz VX,3.7Ξ,5,0.5Ξ,-7.41%,27%,-3,1.80%,0.01%
CryptoSkulls,3.65Ξ,7,0.48Ξ,-5.95%,39%,0,3.30%,-0.03%
Consortium Key,3.6Ξ,1,4.29Ξ,-4.67%,25%,0,1.20%,-0.05%
Phanta Bear,3.53Ξ,12,0.24Ξ,-4.97%,51%,0,2.50%,-0.06%
gmDAO Token v2,3.5Ξ,1,4.09Ξ,-2.34%,77%,-1,3.70%,0.12%
MidnightBreeze,3.45Ξ,11,0.25Ξ,0.76%,43%,-1,7.60%,0.10%
AcclimatedMoonCat...,3.43Ξ,5,0.37Ξ,-5.11%,30%,3,3.30%,0.02%
ETH GOBBLERS,3.37Ξ,85,0.02Ξ,14.99%,26%,0,13.30%,1.02%
3Landers,3.25Ξ,14,0.2Ξ,-5.01%,55%,-7,5.60%,0.17%
Nuclear Nerds,3.23Ξ,15,0.13Ξ,-12.63%,33%,0,3.80%,0.08%
Gucci,3.19Ξ,4,0.53Ξ,0%,72%,-1,5.20%,0.00%
MekaVerse,3.16Ξ,6,0.38Ξ,-1.29%,51%,-2,4.20%,0.05%
Moonrunners,3.16Ξ,27,0.11Ξ,-0.84%,30%,-81,4.60%,-0.22%
Finiliar,3.03Ξ,8,0.3Ξ,-6.17%,17%,-2,4.80%,0.35%
God Hates NFTees,3.03Ξ,6,0.54Ξ,-4.60%,34%,3,5.10%,0.24%
Character,3Ξ,1,1.13Ξ,-5.01%,41%,-1,10%,0.50%
SuperNormalbyZipcy,2.94Ξ,7,0.42Ξ,0.95%,40%,-1,3.80%,0.02%
The Art of Seasons,2.87Ξ,11,0.2Ξ,-2.95%,44%,6,3.80%,0.01%
Flyfish Club,2.85Ξ,1,3.55Ξ,-0.40%,44%,0,0.70%,0.03%
World Of Women Gal...,2.84Ξ,13,0.21Ξ,8.75%,54%,1,2.60%,0.04%
HAPE PRIME,2.83Ξ,5,0.47Ξ,-2.05%,52%,0,4.10%,0.44%
RareApepeYachtClub,2.81Ξ,15,0.14Ξ,-6.36%,29%,-1,7.30%,0.15%
Jadu Jetpack,2.77Ξ,1,1.07Ξ,0%,62%,1,2.30%,-0.09%
Pixelmon,2.72Ξ,6,0.42Ξ,4.16%,29%,-1,4%,0.14%
JRNY NFT Club,2.71Ξ,5,0.58Ξ,7.33%,56%,-4,0.80%,-0.06%
PREMINT Collector,2.65Ξ,10,0.28Ξ,-0.70%,85%,4,1.30%,0.06%
Gutter Dogs,2.64Ξ,6,0.41Ξ,-7.29%,66%,-2,7.20%,0.44%
Hashmasks,2.58Ξ,7,0.33Ξ,0.03%,32%,-3,2.60%,0.09%
Lil Heroes,2.4Ξ,14,0.18Ξ,11.06%,42%,-321,2.10%,-0.22%
